landseg,landuse,thisyear,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A51157,lwm,1997,0.1682,0.1897,0.1832,0.2234,0.537,0.9113,0.9092,0.8171,0.6457,0.1499,0.1465,0.1556
A51159,lwm,1997,0.4193,0.4722,0.4546,0.4955,0.5482,0.7502,0.7962,0.7532,0.6563,0.4054,0.3656,0.3882
A51161,lwm,1997,0.2365,0.2365,0.2295,0.2233,0.1718,0.5338,0.885,0.7964,0.6362,0.1945,0.2023,0.2077
A51163,lwm,1997,0.1787,0.1787,0.1702,0.1625,0.1541,0.5533,0.9306,0.8404,0.6686,0.171,0.1647,0.1624
A51165,lwm,1997,0.1834,0.1834,0.1735,0.1644,0.1627,0.5679,0.9368,0.8502,0.6828,0.1879,0.1737,0.1688
A51167,lwm,1997,0.174,0.174,0.1649,0.1566,0.1551,0.5605,0.9377,0.8485,0.677,0.1743,0.1637,0.1597
A51169,lwm,1997,0.1198,0.1198,0.1112,0.1035,0.1296,0.5586,0.95,0.8732,0.6864,0.1337,0.1211,0.1138
A51171,lwm,1997,0.2969,0.2969,0.2821,0.2679,0.2339,0.6118,0.8976,0.8315,0.7048,0.31,0.2777,0.2716
A51173,lwm,1997,0.1164,0.1164,0.1093,0.1031,0.1212,0.5431,0.95,0.862,0.6709,0.1169,0.1128,0.1084
A51175,lwm,1997,0.3376,0.3683,0.3481,0.3962,0.5634,0.8175,0.8768,0.8312,0.7105,0.3745,0.3166,0.3195
A51177,lwm,1997,0.3205,0.3509,0.3324,0.3793,0.5597,0.8261,0.8776,0.8266,0.7008,0.3489,0.2982,0.3025
A51179,lwm,1997,0.3031,0.3252,0.3041,0.3549,0.5689,0.845,0.9084,0.8611,0.7303,0.3587,0.2948,0.2902
A51181,lwm,1997,0.4269,0.4782,0.459,0.5015,0.5526,0.7485,0.8022,0.7636,0.6691,0.4244,0.3771,0.3968
A51183,lwm,1997,0.4104,0.4477,0.4229,0.4728,0.5708,0.774,0.8535,0.8251,0.7261,0.46,0.385,0.3885
A51185,lwm,1997,0.1365,0.1365,0.1291,0.1226,0.131,0.5445,0.9498,0.8535,0.6682,0.1326,0.1288,0.1255
A51187,lwm,1997,0.1941,0.1941,0.1869,0.1806,0.1545,0.5384,0.9125,0.8206,0.6498,0.1683,0.1712,0.1728
A51191,lwm,1997,0.0868,0.0868,0.0792,0.0726,0.1107,0.5498,0.95,0.8819,0.6841,0.1019,0.0923,0.0846
A51193,lwm,1997,0.4348,0.4889,0.4703,0.5116,0.55,0.7412,0.7917,0.7525,0.6603,0.4241,0.3803,0.4029
A51195,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51197,lwm,1997,0.1416,0.1416,0.1347,0.1288,0.1306,0.5384,0.9431,0.846,0.6608,0.1306,0.1305,0.1287
A51199,lwm,1997,0.2976,0.2987,0.2672,0.3307,0.6008,0.8738,0.95,0.95,0.8281,0.442,0.3279,0.297
A51510,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51515,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51520,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51530,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51540,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51550,lwm,1997,0.3743,0.4105,0.389,0.4368,0.5638,0.7929,0.8572,0.8179,0.7081,0.4083,0.3471,0.353
A51570,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51580,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51590,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51595,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51600,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51610,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51620,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51630,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51640,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51650,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51660,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51670,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51678,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51680,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51683,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51685,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51690,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51700,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51710,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51720,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51730,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51735,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51740,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51750,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51760,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51770,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51775,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51790,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51800,lwm,1997,0.3665,0.4031,0.3828,0.4296,0.5611,0.7961,0.8554,0.813,0.7007,0.3939,0.3375,0.3449
A51810,lwm,1997,0.4399,0.4931,0.4734,0.5158,0.5527,0.7398,0.7952,0.7588,0.6681,0.4362,0.3877,0.4086
A51820,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51830,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51840,lwm,1997,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A54003,lwm,1997,0.2886,0.2886,0.2781,0.2683,0.2102,0.5669,0.8749,0.7985,0.6598,0.2624,0.2548,0.257
A54023,lwm,1997,0.1488,0.1488,0.1419,0.1358,0.1343,0.5392,0.9394,0.8432,0.6601,0.1366,0.1365,0.135
A54027,lwm,1997,0.2697,0.2697,0.2637,0.2584,0.1814,0.5215,0.858,0.7701,0.6164,0.2068,0.2235,0.2335
A54031,lwm,1997,0.147,0.147,0.1359,0.1257,0.1525,0.5823,0.95,0.8796,0.7054,0.1752,0.1508,0.1406
A54037,lwm,1997,0.3087,0.3087,0.2945,0.2809,0.2362,0.605,0.8865,0.8202,0.6952,0.3121,0.2843,0.2803
A54057,lwm,1997,0.183,0.183,0.1763,0.1705,0.1473,0.5336,0.916,0.822,0.6471,0.1558,0.1608,0.1627
A54063,lwm,1997,0.2961,0.2961,0.2906,0.2859,0.19,0.5137,0.8379,0.7509,0.6028,0.2185,0.241,0.2543
A54065,lwm,1997,0.4646,0.4646,0.4603,0.4565,0.2562,0.4901,0.7253,0.65,0.543,0.3174,0.3627,0.392
A54071,lwm,1997,0.1158,0.1158,0.1052,0.0956,0.137,0.5793,0.95,0.8922,0.7087,0.15,0.1256,0.1139
A54077,lwm,1997,0.2541,0.2541,0.2482,0.2431,0.174,0.5209,0.8668,0.7771,0.619,0.1951,0.2112,0.2203
A54093,lwm,1997,0.1713,0.1713,0.1644,0.1584,0.1435,0.537,0.9249,0.8305,0.6531,0.1507,0.153,0.1535
B24001,lwm,1997,0.2359,0.2359,0.2292,0.2233,0.1701,0.5307,0.8834,0.794,0.633,0.1911,0.2007,0.2067
B24021,lwm,1997,0.2866,0.3183,0.3041,0.3476,0.5496,0.8411,0.8729,0.8091,0.673,0.2906,0.2585,0.268
B37005,lwm,1997,0.1287,0.1287,0.1222,0.1166,0.1237,0.5361,0.9492,0.8503,0.6611,0.1193,0.1197,0.1175
B37009,lwm,1997,0.3457,0.3457,0.3408,0.3366,0.2084,0.5043,0.8033,0.7192,0.5827,0.2454,0.276,0.2945
B42001,lwm,1997,0.2972,0.3298,0.3151,0.3587,0.5506,0.8347,0.8693,0.808,0.675,0.3028,0.2683,0.2779
B42009,lwm,1997,0.2255,0.2255,0.2182,0.2118,0.1682,0.5372,0.8934,0.8044,0.642,0.1896,0.195,0.199
B42015,lwm,1997,0.1492,0.1492,0.1419,0.1356,0.1357,0.5422,0.941,0.8455,0.6631,0.1396,0.1378,0.1357
B42027,lwm,1997,0.2821,0.2821,0.2708,0.2603,0.2108,0.5751,0.8837,0.8084,0.6696,0.2653,0.2527,0.2529
B42035,lwm,1997,0.2269,0.2269,0.2159,0.2056,0.1865,0.5767,0.9169,0.8364,0.6829,0.2273,0.2106,0.2069
B42041,lwm,1997,0.2901,0.2901,0.2792,0.269,0.2127,0.571,0.8766,0.8012,0.6638,0.2673,0.2574,0.259
B42043,lwm,1997,0.34,0.34,0.327,0.3146,0.2438,0.5899,0.8591,0.7927,0.673,0.3206,0.303,0.3041
B42055,lwm,1997,0.2552,0.2552,0.2449,0.2352,0.1953,0.5676,0.8948,0.8152,0.6675,0.2392,0.2292,0.2291
B42079,lwm,1997,0.3267,0.3267,0.3186,0.3112,0.2153,0.5394,0.8359,0.7574,0.6232,0.2643,0.2742,0.2844
B42081,lwm,1997,0.2345,0.2345,0.2243,0.2147,0.1862,0.5683,0.9073,0.8258,0.6725,0.225,0.2134,0.2119
B42119,lwm,1997,0.2938,0.2938,0.2786,0.2639,0.2348,0.6171,0.9026,0.8374,0.7109,0.3126,0.2772,0.2699
B42131,lwm,1997,0.1438,0.1438,0.137,0.131,0.1315,0.5382,0.9417,0.8448,0.6601,0.1321,0.1322,0.1305
B51003,lwm,1997,0.2051,0.2344,0.228,0.2663,0.5335,0.8835,0.8807,0.7921,0.6316,0.1732,0.1726,0.1878
B51009,lwm,1997,0.1465,0.1465,0.1367,0.1278,0.1465,0.5692,0.95,0.8691,0.6918,0.1627,0.1456,0.138
B51015,lwm,1997,0.231,0.231,0.2224,0.2146,0.1767,0.5506,0.8985,0.8129,0.6549,0.2061,0.2042,0.2059
B51017,lwm,1997,0.1255,0.1255,0.1177,0.1109,0.1282,0.5496,0.95,0.863,0.6757,0.1295,0.1222,0.1171
B51019,lwm,1997,0.2012,0.231,0.2252,0.2629,0.5318,0.8849,0.879,0.7886,0.6268,0.165,0.1674,0.1837
B51023,lwm,1997,0.1337,0.1337,0.1267,0.1206,0.1279,0.5405,0.949,0.8516,0.6646,0.1269,0.1252,0.1224
B51035,lwm,1997,0.1407,0.1407,0.1328,0.1259,0.1348,0.5489,0.95,0.8551,0.6719,0.1397,0.1337,0.1297
B51061,lwm,1997,0.2304,0.2496,0.2351,0.2817,0.5557,0.8839,0.9182,0.8496,0.697,0.2573,0.2196,0.2191
B51067,lwm,1997,0.1363,0.1514,0.1451,0.1867,0.5394,0.9347,0.9323,0.8367,0.6559,0.1278,0.1231,0.1274
B51071,lwm,1997,0.1354,0.1354,0.127,0.1195,0.1351,0.555,0.95,0.8627,0.6793,0.1415,0.1318,0.1263
B51077,lwm,1997,0.1294,0.1294,0.1217,0.1148,0.1297,0.549,0.95,0.8606,0.6743,0.1317,0.125,0.1203
B51079,lwm,1997,0.1368,0.1521,0.1458,0.1874,0.5392,0.9342,0.9316,0.8359,0.6553,0.1278,0.1233,0.1278
B51091,lwm,1997,0.1636,0.1636,0.1549,0.1471,0.1487,0.5567,0.9414,0.8504,0.6752,0.1634,0.1543,0.1503
B51105,lwm,1997,0.1769,0.1769,0.1707,0.1654,0.1426,0.5292,0.9168,0.8213,0.6438,0.1474,0.1545,0.1568
B51113,lwm,1997,0.2014,0.2179,0.2051,0.2511,0.5531,0.9014,0.928,0.8528,0.6915,0.224,0.1927,0.1918
B51125,lwm,1997,0.1448,0.1448,0.1383,0.1328,0.1303,0.5344,0.9387,0.8411,0.6559,0.1293,0.1316,0.1308
B51139,lwm,1997,0.205,0.205,0.1965,0.1889,0.1651,0.5512,0.914,0.8259,0.6608,0.1879,0.1843,0.1841
B51141,lwm,1997,0.1541,0.1541,0.1451,0.137,0.1461,0.5604,0.9492,0.8581,0.681,0.16,0.1483,0.143
B51157,lwm,1997,0.1682,0.1897,0.1832,0.2234,0.537,0.9113,0.9092,0.8171,0.6457,0.1499,0.1465,0.1556
B51161,lwm,1997,0.2365,0.2365,0.2295,0.2233,0.1718,0.5338,0.885,0.7964,0.6362,0.1945,0.2023,0.2077
B51163,lwm,1997,0.1787,0.1787,0.1702,0.1625,0.1541,0.5533,0.9306,0.8404,0.6686,0.171,0.1647,0.1624
B51165,lwm,1997,0.1834,0.1834,0.1735,0.1644,0.1627,0.5679,0.9368,0.8502,0.6828,0.1879,0.1737,0.1688
B51167,lwm,1997,0.174,0.174,0.1649,0.1566,0.1551,0.5605,0.9377,0.8485,0.677,0.1743,0.1637,0.1597
B51169,lwm,1997,0.1198,0.1198,0.1112,0.1035,0.1296,0.5586,0.95,0.8732,0.6864,0.1337,0.1211,0.1138
B51171,lwm,1997,0.2969,0.2969,0.2821,0.2679,0.2339,0.6118,0.8976,0.8315,0.7048,0.31,0.2777,0.2716
B51173,lwm,1997,0.1164,0.1164,0.1093,0.1031,0.1212,0.5431,0.95,0.862,0.6709,0.1169,0.1128,0.1084
B51185,lwm,1997,0.1365,0.1365,0.1291,0.1226,0.131,0.5445,0.9498,0.8535,0.6682,0.1326,0.1288,0.1255
B51187,lwm,1997,0.1941,0.1941,0.1869,0.1806,0.1545,0.5384,0.9125,0.8206,0.6498,0.1683,0.1712,0.1728
B51191,lwm,1997,0.0868,0.0868,0.0792,0.0726,0.1107,0.5498,0.95,0.8819,0.6841,0.1019,0.0923,0.0846
B51197,lwm,1997,0.1416,0.1416,0.1347,0.1288,0.1306,0.5384,0.9431,0.846,0.6608,0.1306,0.1305,0.1287
B54023,lwm,1997,0.1488,0.1488,0.1419,0.1358,0.1343,0.5392,0.9394,0.8432,0.6601,0.1366,0.1365,0.135
B54031,lwm,1997,0.147,0.147,0.1359,0.1257,0.1525,0.5823,0.95,0.8796,0.7054,0.1752,0.1508,0.1406
B54057,lwm,1997,0.183,0.183,0.1763,0.1705,0.1473,0.5336,0.916,0.822,0.6471,0.1558,0.1608,0.1627
B54071,lwm,1997,0.1158,0.1158,0.1052,0.0956,0.137,0.5793,0.95,0.8922,0.7087,0.15,0.1256,0.1139
C42009,lwm,1997,0.2255,0.2255,0.2182,0.2118,0.1682,0.5372,0.8934,0.8044,0.642,0.1896,0.195,0.199
C51015,lwm,1997,0.231,0.231,0.2224,0.2146,0.1767,0.5506,0.8985,0.8129,0.6549,0.2061,0.2042,0.2059
C51071,lwm,1997,0.1354,0.1354,0.127,0.1195,0.1351,0.555,0.95,0.8627,0.6793,0.1415,0.1318,0.1263
C51165,lwm,1997,0.1834,0.1834,0.1735,0.1644,0.1627,0.5679,0.9368,0.8502,0.6828,0.1879,0.1737,0.1688
B51195,lwm,1997,0.1198,0.1198,0.1112,0.1035,0.1296,0.5586,0.95,0.8732,0.6864,0.1337,0.1211,0.1138
A10001,lwm,2002,0.3653,0.4019,0.3817,0.4284,0.5608,0.7967,0.8553,0.8125,0.6999,0.392,0.3362,0.3437
A10003,lwm,2002,0.3722,0.4083,0.387,0.4346,0.5635,0.7941,0.8577,0.8178,0.7073,0.4056,0.345,0.351
A10005,lwm,2002,0.2868,0.3104,0.292,0.3405,0.5623,0.851,0.9023,0.8476,0.7118,0.3259,0.2736,0.2728
A11001,lwm,2002,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A24001,lwm,2002,0.2056,0.2056,0.1978,0.1908,0.1623,0.5442,0.9093,0.8198,0.6534,0.1818,0.1822,0.1835
A24003,lwm,2002,0.3165,0.3434,0.3235,0.3723,0.5644,0.8325,0.8907,0.8424,0.7154,0.3583,0.3004,0.3007
A24005,lwm,2002,0.229,0.2458,0.2302,0.2783,0.559,0.8875,0.9267,0.8602,0.7072,0.2652,0.2223,0.219
A24009,lwm,2002,0.3117,0.3428,0.3256,0.3714,0.5565,0.8296,0.8751,0.8204,0.6918,0.3322,0.2872,0.2933
A24011,lwm,2002,0.3924,0.4344,0.4141,0.4596,0.5589,0.7768,0.8359,0.7961,0.6915,0.4109,0.3562,0.3677
A24013,lwm,2002,0.2687,0.296,0.2816,0.3262,0.5521,0.8552,0.8886,0.8237,0.6823,0.2814,0.2467,0.2526
A24015,lwm,2002,0.306,0.3393,0.3238,0.3678,0.5518,0.8297,0.8671,0.8081,0.6778,0.3139,0.2769,0.2864
A24017,lwm,2002,0.3695,0.4007,0.3771,0.4276,0.5706,0.8015,0.8756,0.8404,0.7292,0.4228,0.3512,0.3512
A24019,lwm,2002,0.3685,0.4014,0.3788,0.4282,0.5677,0.7999,0.8694,0.8319,0.7205,0.4139,0.347,0.3492
A24021,lwm,2002,0.3035,0.3394,0.3256,0.3678,0.5471,0.8276,0.8577,0.795,0.6638,0.2988,0.2694,0.2825
A24023,lwm,2002,0.263,0.263,0.2571,0.252,0.1781,0.5208,0.8615,0.7728,0.6171,0.2014,0.2181,0.2278
A24025,lwm,2002,0.2232,0.2392,0.2238,0.2719,0.559,0.8913,0.9297,0.8623,0.7076,0.2598,0.2175,0.2138
A24027,lwm,2002,0.2839,0.3144,0.2999,0.3439,0.5508,0.8438,0.8771,0.8138,0.6769,0.2915,0.2576,0.266
A24029,lwm,2002,0.3246,0.3578,0.3403,0.3858,0.5563,0.8207,0.8675,0.8147,0.69,0.3432,0.2975,0.305
A24031,lwm,2002,0.3224,0.3507,0.3308,0.3793,0.5636,0.8279,0.8855,0.8376,0.7124,0.3613,0.3043,0.3057
A24033,lwm,2002,0.3069,0.3324,0.3128,0.3617,0.5642,0.8388,0.8955,0.8455,0.7157,0.3491,0.2923,0.2918
A24035,lwm,2002,0.3632,0.3994,0.3792,0.426,0.561,0.7983,0.8569,0.8139,0.7007,0.3906,0.3347,0.3419
A24037,lwm,2002,0.3715,0.4065,0.3848,0.433,0.5649,0.7957,0.8613,0.8223,0.7117,0.4088,0.3461,0.3509
A24039,lwm,2002,0.3222,0.3457,0.3233,0.3747,0.5712,0.834,0.9034,0.8609,0.7357,0.3823,0.3132,0.3084
A24041,lwm,2002,0.3463,0.3786,0.3581,0.406,0.5632,0.8114,0.8713,0.827,0.7089,0.3816,0.3234,0.3273
A24043,lwm,2002,0.3001,0.3001,0.2878,0.2762,0.2234,0.5849,0.8792,0.8078,0.6761,0.2873,0.2702,0.2697
A24045,lwm,2002,0.29,0.3084,0.2869,0.3389,0.5714,0.8559,0.9215,0.8738,0.7391,0.3538,0.2869,0.2791
A24047,lwm,2002,0.2656,0.2786,0.2569,0.3103,0.574,0.8745,0.9412,0.8914,0.7495,0.3394,0.2701,0.2579
A24510,lwm,2002,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A36003,lwm,2002,0.1766,0.1766,0.1701,0.1644,0.1441,0.5329,0.9193,0.8245,0.6477,0.1506,0.1556,0.1572
A36007,lwm,2002,0.0736,0.0736,0.0667,0.0607,0.1022,0.5442,0.95,0.8836,0.681,0.0873,0.0801,0.0726
A36011,lwm,2002,0.2407,0.2407,0.2262,0.2123,0.2086,0.6125,0.9308,0.8593,0.7172,0.2702,0.2344,0.2244
A36015,lwm,2002,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A36017,lwm,2002,0.1008,0.1008,0.0932,0.0865,0.117,0.5496,0.95,0.8749,0.6809,0.1117,0.1031,0.0963
A36023,lwm,2002,0.1155,0.1155,0.1077,0.1008,0.1241,0.5504,0.95,0.8685,0.6787,0.1231,0.1148,0.1088
A36025,lwm,2002,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A36043,lwm,2002,0.0852,0.0852,0.0778,0.0714,0.1092,0.5481,0.95,0.8812,0.6826,0.0992,0.0905,0.083
A36051,lwm,2002,0.2741,0.2741,0.2664,0.2594,0.1911,0.5387,0.8661,0.7822,0.6334,0.2259,0.2332,0.2401
A36053,lwm,2002,0.1316,0.1316,0.1242,0.1177,0.1292,0.5455,0.95,0.8566,0.6702,0.1301,0.1254,0.1216
A36065,lwm,2002,0.1296,0.1296,0.1211,0.1134,0.1336,0.5574,0.95,0.8675,0.6831,0.1397,0.1283,0.1219
A36067,lwm,2002,0.2112,0.2112,0.2007,0.191,0.1775,0.5726,0.9234,0.8405,0.6818,0.2122,0.197,0.193
A36069,lwm,2002,0.3133,0.3133,0.3026,0.2925,0.2217,0.5676,0.8609,0.7871,0.6553,0.2807,0.2741,0.2779
A36077,lwm,2002,0.1041,0.1041,0.0967,0.0903,0.1173,0.547,0.95,0.8712,0.6775,0.1117,0.1047,0.0987
A36095,lwm,2002,0.0921,0.0921,0.0849,0.0786,0.1112,0.5455,0.95,0.8758,0.6785,0.1017,0.0948,0.0883
A36097,lwm,2002,0.1828,0.1828,0.1762,0.1705,0.147,0.5331,0.9158,0.8217,0.6466,0.1553,0.1605,0.1625
A36101,lwm,2002,0.1536,0.1536,0.1464,0.1402,0.1373,0.5412,0.9378,0.8425,0.6611,0.1418,0.1409,0.1393
A36107,lwm,2002,0.0798,0.0798,0.0727,0.0665,0.1055,0.5453,0.95,0.8816,0.6809,0.0927,0.0852,0.0779
A36109,lwm,2002,0.2247,0.2247,0.2157,0.2075,0.176,0.5554,0.9051,0.8199,0.6611,0.206,0.2011,0.2014
A36123,lwm,2002,0.2987,0.2987,0.291,0.2841,0.2015,0.5368,0.8506,0.7688,0.6264,0.2419,0.2516,0.2605
A37001,lwm,2002,0.4118,0.4779,0.4682,0.5002,0.5253,0.7374,0.7473,0.6868,0.5872,0.3353,0.3324,0.3728
A37005,lwm,2002,0.068,0.068,0.061,0.055,0.1,0.545,0.95,0.887,0.683,0.084,0.076,0.068
A37009,lwm,2002,0.4034,0.4034,0.3989,0.3951,0.2309,0.4959,0.7645,0.6844,0.5619,0.279,0.3175,0.3415
A37033,lwm,2002,0.4833,0.5577,0.5444,0.577,0.5298,0.6925,0.718,0.6724,0.5942,0.4117,0.3963,0.4396
A37067,lwm,2002,0.3378,0.3575,0.3314,0.3865,0.581,0.8311,0.9174,0.8844,0.7641,0.4234,0.3376,0.3263
A37077,lwm,2002,0.4817,0.5522,0.5371,0.572,0.5354,0.698,0.732,0.6901,0.6114,0.4258,0.4016,0.4402
A37081,lwm,2002,0.4457,0.5125,0.4993,0.5337,0.5326,0.7201,0.7455,0.6958,0.6064,0.3861,0.3689,0.4065
A37131,lwm,2002,0.4134,0.451,0.426,0.476,0.571,0.7722,0.8524,0.8246,0.7265,0.4632,0.3877,0.3913
A37135,lwm,2002,0.3513,0.3986,0.3855,0.4245,0.5406,0.7902,0.8162,0.7567,0.6396,0.3237,0.3009,0.3235
A37145,lwm,2002,0.4968,0.5673,0.5504,0.5866,0.5393,0.6908,0.7326,0.696,0.6219,0.4501,0.4186,0.4554
A37157,lwm,2002,0.4729,0.5432,0.5288,0.5632,0.5337,0.7026,0.7329,0.6884,0.6071,0.4133,0.3924,0.4316
A37169,lwm,2002,0.3447,0.3836,0.3669,0.4105,0.5523,0.8039,0.8469,0.7946,0.6757,0.3499,0.3092,0.3218
A37171,lwm,2002,0.3429,0.3772,0.3583,0.4046,0.559,0.8104,0.8636,0.8158,0.6965,0.367,0.3157,0.3227
A37181,lwm,2002,0.5143,0.5729,0.5479,0.5929,0.5621,0.697,0.776,0.7585,0.69,0.5289,0.4599,0.4798
A37185,lwm,2002,0.4774,0.5335,0.5113,0.5548,0.5571,0.718,0.7847,0.7576,0.6781,0.482,0.4237,0.4443
A37189,lwm,2002,0.2654,0.2654,0.2599,0.2552,0.1771,0.5161,0.8572,0.7677,0.6117,0.1988,0.2182,0.229
A42001,lwm,2002,0.3396,0.3847,0.3717,0.4111,0.5413,0.7987,0.8242,0.7632,0.6426,0.315,0.2921,0.3131
A42009,lwm,2002,0.2297,0.2297,0.2216,0.2142,0.1744,0.5467,0.8968,0.8103,0.6511,0.2016,0.2018,0.2042
A42011,lwm,2002,0.3021,0.3021,0.2887,0.2758,0.2299,0.5975,0.8857,0.8172,0.6887,0.3004,0.2765,0.2736
A42013,lwm,2002,0.168,0.168,0.1585,0.1498,0.1544,0.5649,0.9439,0.8551,0.6828,0.1741,0.1607,0.1554
A42015,lwm,2002,0.1512,0.1512,0.144,0.1377,0.1364,0.5416,0.9394,0.844,0.6621,0.1404,0.1391,0.1373
A42021,lwm,2002,0.4608,0.4608,0.4559,0.4516,0.2574,0.4965,0.7314,0.6572,0.5505,0.3207,0.3622,0.3899
A42023,lwm,2002,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A42025,lwm,2002,0.4719,0.4719,0.4647,0.4581,0.2729,0.52,0.7394,0.6712,0.5727,0.3504,0.3794,0.4032
A42027,lwm,2002,0.2981,0.2981,0.2855,0.2734,0.2245,0.5895,0.8832,0.8125,0.6812,0.2901,0.2704,0.2688
A42029,lwm,2002,0.2226,0.2432,0.2303,0.2755,0.5515,0.8859,0.9127,0.8399,0.6848,0.2386,0.2082,0.2104
A42033,lwm,2002,0.2988,0.2988,0.2933,0.2884,0.1916,0.5146,0.8368,0.7503,0.6031,0.2213,0.2435,0.2568
A42035,lwm,2002,0.2184,0.2184,0.2069,0.1962,0.1852,0.5825,0.9253,0.8453,0.6906,0.2266,0.2062,0.2007
A42037,lwm,2002,0.3377,0.3377,0.323,0.3089,0.2507,0.6078,0.8714,0.8086,0.6922,0.3355,0.3078,0.3051
A42041,lwm,2002,0.3034,0.3034,0.2922,0.2817,0.2197,0.5732,0.8701,0.7965,0.6632,0.2789,0.2685,0.2705
A42043,lwm,2002,0.3611,0.3611,0.3465,0.3324,0.2605,0.6059,0.8565,0.7956,0.6852,0.3505,0.3252,0.3245
A42047,lwm,2002,0.3431,0.3431,0.3382,0.334,0.2074,0.5047,0.805,0.7208,0.5836,0.2439,0.2741,0.2924
A42055,lwm,2002,0.2534,0.2534,0.243,0.2332,0.1952,0.5693,0.8968,0.8174,0.6696,0.2394,0.2284,0.2279
A42057,lwm,2002,0.3302,0.3302,0.3246,0.3196,0.2055,0.5137,0.818,0.7344,0.5957,0.243,0.2675,0.2831
A42061,lwm,2002,0.2178,0.2178,0.2084,0.1999,0.1748,0.5598,0.9118,0.8268,0.6671,0.2051,0.1974,0.1963
A42063,lwm,2002,0.3675,0.3675,0.3579,0.3489,0.2398,0.5526,0.8202,0.7486,0.6284,0.3058,0.3106,0.321
A42065,lwm,2002,0.3334,0.3334,0.3258,0.3189,0.2159,0.5339,0.8285,0.7495,0.616,0.264,0.2773,0.2891
A42067,lwm,2002,0.2832,0.2832,0.2712,0.2598,0.2151,0.5835,0.8882,0.8148,0.6782,0.2739,0.2566,0.2553
A42069,lwm,2002,0.1438,0.1438,0.1373,0.1318,0.1296,0.5339,0.9391,0.8412,0.6556,0.128,0.1306,0.1298
